,職稱,姓名,所代表法人,持有股份數(股),公司
0,董事長,曾文港,大同股份有限公司,1850745168.0,中華映管股份有限公司
1,董事,王嘉鴻,中華電子投資股份有限公司,577821932.0,中華映管股份有限公司
2,董事,曾明德,中華電子投資股份有限公司,577821932.0,中華映管股份有限公司
3,董事,董廣業,大同股份有限公司,1850745168.0,中華映管股份有限公司
4,監察人,林長權,志生不動產股份有限公司,141871033.0,中華映管股份有限公司
5,代表人,張瑞凱,中華電子投資股份有限公司,0.0,中華映管股份有限公司
6,代表人,葉啟昭,大同股份有限公司,0.0,中華映管股份有限公司
7,代表人,張益華,志生不動產股份有限公司,0.0,中華映管股份有限公司
8,董事長,謝秀娟,庭楊股份有限公司,5718551.0,川飛能源股份有限公司
9,董事,江彥雄,庭楊股份有限公司,5718551.0,川飛能源股份有限公司
10,董事,陳世凱,庭楊股份有限公司,5718551.0,川飛能源股份有限公司
11,董事,胡立三,山雋股份有限公司,1954328.0,川飛能源股份有限公司
12,董事,陳艷容,山雋股份有限公司,1954328.0,川飛能源股份有限公司
13,獨立董事,方鳳騏,,0.0,川飛能源股份有限公司
14,獨立董事,吳東霖,,0.0,川飛能源股份有限公司
15,監察人,李華豪,悠仁投資股份有限公司,510600.0,川飛能源股份有限公司
16,代表人,謝秀娟,山雋股份有限公司,0.0,川飛能源股份有限公司
17,代表人,李華豪,悠仁投資股份有限公司,0.0,川飛能源股份有限公司
18,代表人,謝秀娟,庭楊股份有限公司,0.0,川飛能源股份有限公司
19,董事長,趙畊遠,恩享有限公司,31286.0,齊民股份有限公司
20,董事,許洪猷,恩享有限公司,31286.0,齊民股份有限公司
21,董事,陳忠,恩享有限公司,31286.0,齊民股份有限公司
22,監察人,陳珊珊,班特扎克投資有限公司,12255.0,齊民股份有限公司
23,監察人,龔君彥,,0.0,齊民股份有限公司
24,代表人,陳珊珊,班特扎克投資有限公司,0.0,齊民股份有限公司
25,代表人,陳忠,恩享有限公司,0.0,齊民股份有限公司
26,監察人,解任,力長企業股份有限公司,0.0,嘉新食品化纖股份有限公司
27,監察人,解任,長森興業股份有限公司,0.0,嘉新食品化纖股份有限公司
28,代表人,,長森興業股份有限公司,0.0,嘉新食品化纖股份有限公司
29,代表人,,力長企業股份有限公司,0.0,嘉新食品化纖股份有限公司
30,董事長,萬物皆可貸股份有限公司,,5666000.0,億麗科技股份有限公司
31,董事,祥睿工程股份有限公司,,6209104.0,億麗科技股份有限公司
32,董事,鄧桂珠,家凡人股份有限公司,1605098.0,億麗科技股份有限公司
33,董事,葉瑞祺,家凡人股份有限公司,1605098.0,億麗科技股份有限公司
34,獨立董事,蔡孟佳,,0.0,億麗科技股份有限公司
35,獨立董事,潘飛,,0.0,億麗科技股份有限公司
36,代表人,丁予涵,家凡人股份有限公司,0.0,億麗科技股份有限公司
37,重整人,章世璋,,0.0,歌林股份有限公司
38,重整監督人,凱基商業銀行股份有限公司,,0.0,歌林股份有限公司
39,重整監督人,蔡慧玲,,0.0,歌林股份有限公司
40,重整監督人,呂正樂,,0.0,歌林股份有限公司
41,董事長,暫缺,,0.0,歌林股份有限公司
42,董事,暫缺,,0.0,歌林股份有限公司
43,董事,暫缺,,0.0,歌林股份有限公司
44,董事,暫缺,,0.0,歌林股份有限公司
45,董事,暫缺,,0.0,歌林股份有限公司
46,董事,暫缺,,0.0,歌林股份有限公司
47,董事,暫缺,,0.0,歌林股份有限公司
48,董事,暫缺,,0.0,歌林股份有限公司
49,董事,暫缺,,0.0,歌林股份有限公司
50,董事,暫缺,,0.0,歌林股份有限公司
51,董事,暫缺,,0.0,歌林股份有限公司
52,監察人,暫缺,,0.0,歌林股份有限公司
53,董事長,王鎮民,嘉隆國際實業有限公司,4204282.0,大西洋飲料股份有限公司
54,常務董事  (獨立董事),廖虹羚,,0.0,大西洋飲料股份有限公司
55,獨立董事,王邦屹,,0.0,大西洋飲料股份有限公司
56,董事,吳成志,嘉隆國際實業有限公司,4204282.0,大西洋飲料股份有限公司
