,職稱,姓名,所代表法人,持有股份數(股),主要公司,公司
0,董事長,曾文港,大同股份有限公司,1850745168.0,中華映管股份有限公司,中華映管股份有限公司
1,董事,王嘉鴻,中華電子投資股份有限公司,577821932.0,中華映管股份有限公司,中華映管股份有限公司
2,董事,曾明德,中華電子投資股份有限公司,577821932.0,中華映管股份有限公司,中華映管股份有限公司
3,董事,董廣業,大同股份有限公司,1850745168.0,中華映管股份有限公司,中華映管股份有限公司
4,監察人,林長權,志生不動產股份有限公司,141871033.0,中華映管股份有限公司,中華映管股份有限公司
5,代表人,盧明光,,0.0,大同股份有限公司,中華映管股份有限公司
6,董事長,盧明光,競殿投資股份有限公司,4455583.0,大同股份有限公司,中華映管股份有限公司
7,董事,王光祥,競殿投資股份有限公司,4455583.0,大同股份有限公司,中華映管股份有限公司
8,董事,林清祥,競殿投資股份有限公司,4455583.0,大同股份有限公司,中華映管股份有限公司
9,董事,鍾依文,競殿投資股份有限公司,4455583.0,大同股份有限公司,中華映管股份有限公司
10,董事,梁基岩,欣同投資顧問有限公司,28549000.0,大同股份有限公司,中華映管股份有限公司
11,董事,何春盛,財團法人臺北市私立大同高級中學,32050074.0,大同股份有限公司,中華映管股份有限公司
12,獨立董事,王金來,,0.0,大同股份有限公司,中華映管股份有限公司
13,獨立董事,李勝琛,,0.0,大同股份有限公司,中華映管股份有限公司
14,獨立董事,龔鍾嶸,,0.0,大同股份有限公司,中華映管股份有限公司
15,代表人,張益華,,0.0,志生不動產股份有限公司,中華映管股份有限公司
16,董事長,張益華,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
17,董事,林郭文艷,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
18,董事,鍾國華,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
19,董事,陳淑麗,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
20,董事,張瑜恬,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
21,監察人,楊政杰,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
22,代表人,林宏信,,0.0,欣同投資顧問有限公司,中華映管股份有限公司
23,代表人,王光祥,,0.0,尚志資產開發股份有限公司,中華映管股份有限公司
24,董事長,王光祥,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
25,董事,林郭文艶,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
26,董事,張益華,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
27,董事,盧明光,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
28,董事,缺額,大同股份有限公司,0.0,尚志資產開發股份有限公司,中華映管股份有限公司
29,監察人,于俊明,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
30,代表人,王雅麟,,0.0,競殿投資股份有限公司,中華映管股份有限公司
31,董事長,王雅麟,三雅投資股份有限公司,5000.0,競殿投資股份有限公司,中華映管股份有限公司
32,董事,王雅誠,羅得投資股份有限公司,245000.0,競殿投資股份有限公司,中華映管股份有限公司
33,董事,王雅萱,羅得投資股份有限公司,245000.0,競殿投資股份有限公司,中華映管股份有限公司
34,監察人,陳麒盛,三圓投資事業股份有限公司,250000.0,競殿投資股份有限公司,中華映管股份有限公司
35,代表人,張瑞凱,,0.0,中華電子投資股份有限公司,中華映管股份有限公司
36,董事長,張瑞凱,大同股份有限公司,297626267.0,中華電子投資股份有限公司,中華映管股份有限公司
37,董事,林郭文艷,大同股份有限公司,297626267.0,中華電子投資股份有限公司,中華映管股份有限公司
38,董事,張益華,大同股份有限公司,297626267.0,中華電子投資股份有限公司,中華映管股份有限公司
39,董事,翁榮輝,大同股份有限公司,297626267.0,中華電子投資股份有限公司,中華映管股份有限公司
40,董事,李龍達,大同股份有限公司,297626267.0,中華電子投資股份有限公司,中華映管股份有限公司
41,監察人,蘇育生,尚志資產開發股份有限公司,562355.0,中華電子投資股份有限公司,中華映管股份有限公司
42,監察人,陳怡君,尚志資產開發股份有限公司,562355.0,中華電子投資股份有限公司,中華映管股份有限公司
43,董事長,謝秀娟,庭楊股份有限公司,5718551.0,川飛能源股份有限公司,川飛能源股份有限公司
44,董事,江彥雄,庭楊股份有限公司,5718551.0,川飛能源股份有限公司,川飛能源股份有限公司
45,董事,陳世凱,庭楊股份有限公司,5718551.0,川飛能源股份有限公司,川飛能源股份有限公司
46,董事,胡立三,山雋股份有限公司,1954328.0,川飛能源股份有限公司,川飛能源股份有限公司
47,董事,陳艷容,山雋股份有限公司,1954328.0,川飛能源股份有限公司,川飛能源股份有限公司
